,Name,Wins,Losses,Draws,Stance,Reach (inches),Weight (pounds),Height (inches),Significant Strikes Landed per Minute,Significant Striking Accuracy,Significant Strikes Absorbed per Minute,Significant Strike Defence (the percentage of opponents strikes that did not land),Average Takedowns Landed per 15 minutes,Takedown Accuracy,Takedown Defense (the percentage of opponents TD attempts that did not land),Average Submissions Attempted per 15 minutes
19,Omari Akhmedov,21,6,1,Orthodox,73.0,185.0,72.0,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2
20,Yoshihiro Akiyama,14,6,0,Orthodox,75.0,170.0,70.0,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0
21,Rostem Akman,6,2,0,Switch,72.0,170.0,70.0,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0
22,Abdul-Kareem Al-Selwady,15,4,0,Orthodox,69.0,155.0,68.0,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0
23,Mostapha Al-Turk,6,6,0,Orthodox,77.0,245.0,74.0,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0
24,Herdem Alacabek,5,1,0,Orthodox,75.0,205.0,74.0,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0
25, Alatengheili,17,9,2,Orthodox,66.0,135.0,65.0,2.64,0.32,4.67,0.57,1.99,0.45,0.75,0.0
26,Amir Albazi,17,2,0,Orthodox,68.0,125.0,65.0,2.72,0.34,3.71,0.61,1.39,0.32,0.5,0.5
27,John Albert,6,5,0,Orthodox,68.0,135.0,68.0,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1
28,Junior Albini,14,6,0,Orthodox,74.0,264.0,75.0,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0
29,Aleksandra Albu,3,2,0,Orthodox,63.0,115.0,62.0,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4
30,Iuri Alcantara,35,10,0,Southpaw,71.0,135.0,69.0,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8
31,Ildemar Alcantara,21,11,0,Orthodox,78.0,185.0,74.0,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9
32,Irene Aldana,15,8,0,Orthodox,68.0,135.0,69.0,5.19,0.39,6.64,0.56,0.15,0.5,0.77,0.2
33,Hector Aldana,4,3,0,Orthodox,72.0,170.0,71.0,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0
34,Jose Alday,14,6,1,Orthodox,68.0,135.0,67.0,3.13,0.44,3.13,0.58,0.0,0.0,0.57,0.0
35,Jose Aldo,32,9,0,Orthodox,70.0,135.0,67.0,3.62,0.46,3.72,0.6,0.49,0.53,0.92,0.1
36,JJ Aldrich,13,7,0,Southpaw,67.0,125.0,65.0,3.88,0.46,4.38,0.6,0.66,0.23,0.66,0.0
37,Irina Alekseeva,5,2,0,Orthodox,67.0,135.0,68.0,3.84,0.43,3.55,0.48,0.87,0.2,1.0,0.9
38,Talita Alencar,5,1,1,Orthodox,58.0,115.0,61.0,2.49,0.28,4.8,0.52,2.0,0.13,0.5,0.0
39,Jim Alers,13,3,0,Orthodox,71.0,145.0,69.0,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3
40,John Alessio,35,17,0,Orthodox,72.0,155.0,70.0,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2
41,Houston Alexander,17,15,1,Orthodox,72.0,205.0,72.0,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0
42,Lucas Alexander,8,4,0,Orthodox,73.0,145.0,71.0,5.23,0.55,1.83,0.71,0.0,0.0,0.57,0.0
43,Marcio Alexandre Junior,17,4,0,Southpaw,75.0,185.0,72.0,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7
44,Bill Algeo,18,9,0,Switch,73.0,145.0,72.0,5.88,0.51,4.38,0.47,1.03,0.5,0.55,0.1
45,Sultan Aliev,15,3,0,Orthodox,74.0,170.0,71.0,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0
46,Nurullo Aliev,9,0,0,Orthodox,72.0,155.0,70.0,2.5,0.51,0.46,0.59,3.06,0.44,0.0,0.0
47,Ikram Aliskerov,15,2,0,Southpaw,76.0,185.0,72.0,7.03,0.6,7.27,0.36,1.82,0.33,0.0,1.8
48,Leon Aliu,10,2,0,Orthodox,74.0,185.0,72.0,6.32,0.5,10.11,0.38,0.0,0.0,0.0,0.0
49,John Allan,13,7,0,Orthodox,75.0,205.0,73.0,3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8
50,Arnold Allen,20,3,0,Southpaw,70.0,145.0,68.0,3.45,0.41,2.88,0.61,0.93,0.47,0.75,0.3
51,Brendan Allen,24,6,0,Orthodox,75.0,185.0,74.0,3.79,0.53,3.83,0.46,1.67,0.39,0.58,1.3
52,Daniel Allen,5,0,0,Southpaw,75.0,155.0,72.0,7.6,0.51,5.87,0.53,2.0,0.66,1.0,0.0
53,Ben Alloway,18,8,0,Orthodox,76.0,170.0,71.0,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0
54,Asu Almabayev,21,2,0,Orthodox,65.0,125.0,64.0,2.11,0.56,1.02,0.59,5.08,0.5,0.5,1.7
55,Bekzat Almakhan,11,2,0,Orthodox,68.0,135.0,67.0,0.2,0.18,4.53,0.3,0.0,0.0,0.0,0.0
56,John Dave Almanza,6,1,0,Southpaw,67.0,125.0,67.0,1.92,0.41,5.75,0.27,0.0,0.0,0.0,0.0
57,Ricardo Almeida,13,5,0,Orthodox,74.0,170.0,72.0,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2
58,Thomas Almeida,22,5,0,Southpaw,70.0,145.0,67.0,4.84,0.43,4.93,0.61,0.17,0.14,0.75,0.0
59,Jailton Almeida,21,3,0,Orthodox,79.0,205.0,75.0,2.46,0.64,0.72,0.4,6.85,0.59,0.75,2.6
60,Lucas Almeida,15,3,0,Orthodox,71.0,145.0,71.0,4.94,0.43,4.92,0.46,0.0,0.0,0.5,0.0
61,Cesar Almeida,6,1,0,Orthodox,74.0,185.0,73.0,4.12,0.57,2.18,0.47,0.0,0.0,0.57,0.3
62,Sarah Alpar,9,6,0,Southpaw,63.0,135.0,64.0,2.36,0.44,6.06,0.38,1.61,0.26,0.2,0.4
63,Ali AlQaisi,8,5,0,Orthodox,68.0,135.0,66.0,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0
64,Victor Altamirano,12,5,0,Switch,70.0,125.0,68.0,4.58,0.53,3.82,0.53,2.88,0.38,0.63,0.0
65,Patricia Alujas,9,3,0,Orthodox,64.0,115.0,64.0,5.83,0.31,9.25,0.44,0.0,0.0,0.0,0.0
66,Eddie Alvarez,29,6,0,Orthodox,69.0,155.0,69.0,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5
67,Jaime Alvarez,6,1,0,Orthodox,69.0,125.0,68.0,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0
68,Joel Alvarez,22,3,0,Orthodox,77.0,155.0,75.0,4.39,0.52,3.36,0.51,0.0,0.0,0.42,1.2
69,Thiago Alves,23,15,0,Orthodox,70.0,170.0,69.0,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3
70,Warlley Alves,15,8,0,Orthodox,72.0,185.0,71.0,3.04,0.48,3.95,0.5,1.22,0.5,0.62,0.8
71,Rafael Alves,20,12,0,Orthodox,68.0,155.0,68.0,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5
72,Sam Alvey,33,18,1,Southpaw,75.0,185.0,74.0,3.28,0.44,3.63,0.52,0.06,0.14,0.82,0.1
73,Adlan Amagov,14,2,1,Orthodox,76.0,170.0,74.0,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0
74,Alen Amedovski,8,4,0,Orthodox,74.0,185.0,70.0,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0
75,Hyder Amil,10,0,0,Switch,70.0,145.0,69.0,6.31,0.57,2.23,0.61,0.64,0.33,0.78,1.9
76,Makwan Amirkhani,17,9,0,Southpaw,72.0,145.0,70.0,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1
77,Jaqueline Amorim,9,1,0,Orthodox,68.0,115.0,63.0,3.05,0.52,1.72,0.63,1.78,0.28,0.0,5.3
78,Eryk Anders,17,8,0,Southpaw,75.0,185.0,73.0,3.54,0.48,4.05,0.5,1.71,0.24,0.8,0.1
79,Corey Anderson,14,5,0,Orthodox,79.0,205.0,75.0,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0
80,Megan Anderson,11,5,0,Orthodox,72.0,145.0,72.0,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5
81,Liam Anderson,6,3,0,Orthodox,75.0,185.0,75.0,3.0,0.52,6.53,0.31,1.0,0.2,0.5,0.0
82,Tatsuya Ando,14,4,1,Southpaw,68.0,145.0,64.0,0.93,0.19,4.93,0.5,0.0,0.0,0.0,0.0
83,Jessica Andrade,26,13,0,Orthodox,62.0,125.0,61.0,6.44,0.5,5.51,0.54,2.23,0.54,0.72,0.3
84,Viscardi Andrade,19,6,0,Orthodox,75.0,170.0,71.0,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3
85,Juan Andres Luna,12,1,0,Orthodox,72.0,125.0,67.0,3.27,0.31,3.0,0.65,0.0,0.0,0.0,0.0
86,Dylan Andrews,18,7,0,Switch,74.0,185.0,73.0,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4
87, Angga,13,3,0,Orthodox,68.0,145.0,67.0,3.56,0.38,3.77,0.53,0.0,0.0,0.33,0.0
88,Collin Anglin,8,3,0,Orthodox,71.0,145.0,69.0,4.59,0.48,5.54,0.51,2.28,0.66,1.0,0.0
89,Chad Anheliger,13,8,0,Orthodox,64.0,135.0,66.0,3.11,0.46,2.76,0.53,0.68,0.3,0.38,0.5
90,Magomed Ankalaev,20,1,1,Orthodox,75.0,205.0,75.0,3.64,0.52,2.37,0.58,0.92,0.31,0.86,0.0
91,Gadzhimurad Antigulov,20,8,0,Orthodox,70.0,205.0,71.0,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4
92,Adam Antolin,12,3,0,Orthodox,63.0,125.0,65.0,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0
93,Vanilto Antunes,16,7,0,Orthodox,72.0,170.0,72.0,5.49,0.48,14.27,0.43,0.0,0.0,0.0,0.0
94,Shinsho Anzai,10,3,0,Orthodox,70.0,170.0,67.0,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0
95, Aoriqileng,25,12,0,Orthodox,69.0,135.0,67.0,4.65,0.49,5.46,0.48,1.2,0.46,0.58,0.0
96,Felipe Arantes,18,10,1,Orthodox,73.0,135.0,68.0,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7
97,Igor Araujo,25,9,0,Orthodox,77.0,170.0,73.0,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6
98,Viviane Araujo,13,6,0,Orthodox,68.0,125.0,64.0,4.04,0.47,4.87,0.56,1.86,0.43,0.8,0.7
99,Julio Arce,19,6,0,Southpaw,70.0,145.0,67.0,4.36,0.36,3.05,0.68,0.46,0.28,0.96,0.3
100,Alice Ardelean,9,7,0,Orthodox,62.0,115.0,63.0,4.97,0.45,4.97,0.52,1.0,0.4,1.0,0.0
101,Dan Argueta,9,3,0,Southpaw,68.0,135.0,67.0,2.48,0.43,3.44,0.5,4.36,0.35,0.55,1.4
102,Hashem Arkhagha,6,1,0,Orthodox,75.0,185.0,74.0,1.84,0.44,8.97,0.43,0.0,0.0,0.5,0.0
103,Andrei Arlovski,34,24,0,Orthodox,77.0,240.0,75.0,3.82,0.45,3.22,0.57,0.37,0.35,0.76,0.2
104,Garrett Armfield,10,5,0,Orthodox,70.0,135.0,66.0,5.35,0.53,3.64,0.56,1.1,0.5,0.64,0.6
105,Austin Arnett,16,6,0,Orthodox,72.0,145.0,72.0,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2
106,Eli Aronov,6,1,0,Orthodox,72.0,185.0,70.0,8.92,0.68,6.49,0.38,12.16,1.0,0.0,0.0
107,Akbarh Arreola,23,11,1,Southpaw,71.0,155.0,70.0,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4
108,Matt Arroyo,3,3,0,Orthodox,72.0,170.0,70.0,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3
109,Antonio Arroyo,9,5,0,Orthodox,73.0,185.0,75.0,2.82,0.66,2.02,0.5,1.14,0.41,0.41,0.2
110,Kai Asakura,21,5,0,Orthodox,69.0,125.0,68.0,2.4,0.58,4.52,0.38,0.0,0.0,0.57,0.0
111,Teddy Ash,14,5,0,Switch,73.0,185.0,73.0,7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0
112,Yanal Ashmouz,8,1,0,Orthodox,69.0,155.0,69.0,2.94,0.5,4.54,0.55,4.8,0.5,0.6,0.0
113,Askar Askar,11,1,0,Orthodox,69.0,145.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Askar Askarov,14,1,1,Orthodox,67.0,125.0,66.0,3.05,0.54,2.8,0.57,2.6,0.24,0.66,0.4
115,Cyril Asker,9,4,0,Orthodox,74.0,247.0,72.0,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9
116,Khusein Askhabov,23,1,0,Orthodox,69.0,145.0,68.0,2.0,0.26,4.13,0.56,0.0,0.0,0.66,0.0
117,Scott Askham,14,4,0,Southpaw,75.0,185.0,75.0,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7
118,Ben Askren,19,2,0,Orthodox,73.0,170.0,71.0,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9
119,Ibo Aslan,14,1,0,Orthodox,77.0,205.0,75.0,8.34,0.5,4.34,0.64,0.0,0.0,1.0,0.0
120,Tom Aspinall,15,3,0,Orthodox,78.0,256.0,77.0,8.07,0.67,2.89,0.65,3.27,1.0,1.0,1.6
121,Junior Assuncao,16,6,0,Orthodox,72.0,145.0,69.0,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7
122,Raphael Assuncao,28,10,0,Orthodox,66.0,135.0,65.0,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2
123,Michael Aswell,9,2,0,Orthodox,69.0,145.0,68.0,10.33,0.5,6.8,0.52,0.0,0.0,0.57,0.0
124,Rich Attonito,10,5,0,Orthodox,72.0,170.0,70.0,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0
125,Olivier Aubin-Mercier,11,5,0,Southpaw,70.0,155.0,69.0,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5
126,Marcus Aurelio,22,10,0,Orthodox,74.0,155.0,70.0,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3
127,Blas Avena,8,7,0,Orthodox,74.0,170.0,72.0,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8
128,Julia Avila,9,3,0,Orthodox,68.0,135.0,67.0,2.59,0.43,2.86,0.5,0.54,0.33,0.5,0.3
129,Jessin Ayari,16,6,0,Orthodox,73.0,155.0,72.0,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3
130,Abu Azaitar,14,4,1,Orthodox,76.0,185.0,69.0,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0
131,Ottman Azaitar,13,3,0,Switch,71.0,155.0,68.0,5.73,0.51,4.96,0.48,0.0,0.0,1.0,0.0
132,Hunter Azure,9,2,0,Orthodox,69.0,145.0,68.0,3.92,0.53,2.08,0.58,1.97,0.34,0.67,1.3
133,Seth Baczynski,20,14,0,Orthodox,75.0,170.0,75.0,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8
134,Ryan Bader,23,5,0,Orthodox,74.0,205.0,74.0,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4
135,Miguel Baeza,10,4,0,Orthodox,74.0,170.0,74.0,4.09,0.49,5.92,0.46,0.36,0.22,0.54,2.0
136,Ali Bagautinov,15,6,0,Orthodox,65.0,125.0,64.0,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3
137,Melsik Baghdasaryan,8,2,0,Southpaw,70.0,145.0,69.0,5.28,0.61,3.06,0.58,0.0,0.0,0.72,0.0
138,Siyar Bahadurzada,24,8,1,Orthodox,73.0,170.0,71.0,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3
139,Ignacio Bahamondes,16,5,0,Orthodox,75.0,155.0,75.0,7.17,0.47,4.41,0.57,0.0,0.0,0.85,0.3
140,Bahatebole Batebolati,10,1,1,Southpaw,71.0,170.0,68.0,4.02,0.45,4.83,0.61,1.34,0.66,1.0,0.0
141,Shamar Bailey,16,11,0,Southpaw,75.0,155.0,69.0,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0
142, Balajin,23,4,0,Orthodox,72.0,145.0,69.0,1.4,0.33,2.73,0.5,2.0,0.2,0.66,0.0
143,Oluwale Bamgbose,6,4,0,Switch,78.0,185.0,71.0,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0
144,Humberto Bandenay,14,7,0,Southpaw,71.0,145.0,71.0,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5
145,Tae Hyun Bang,18,10,0,Switch,71.0,155.0,69.0,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5
146,Shauna Bannon,6,1,0,Switch,65.0,115.0,65.0,4.37,0.41,3.77,0.42,0.0,0.0,0.42,0.0
147,Antonio Banuelos,20,11,1,Orthodox,63.0,135.0,65.0,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4
148,Renan Barao,34,9,0,Orthodox,70.0,145.0,66.0,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5
149,Maycee Barber,14,2,0,Switch,65.0,125.0,65.0,4.7,0.53,2.9,0.54,1.44,0.43,0.53,0.1
150,Bryan Barberena,18,12,0,Southpaw,72.0,185.0,72.0,5.35,0.48,4.59,0.44,0.13,0.22,0.5,0.3
151,Dione Barbosa,7,3,0,Orthodox,66.0,125.0,66.0,1.85,0.48,2.49,0.66,1.73,0.28,0.42,2.2
152,Edson Barboza,24,12,0,Orthodox,75.0,145.0,71.0,4.11,0.44,4.65,0.56,0.45,0.5,0.72,0.1
153,Raoni Barcelos,18,5,0,Orthodox,67.0,135.0,67.0,5.22,0.51,4.79,0.61,1.86,0.32,0.85,0.6
154,Daniel Barez,17,6,0,Orthodox,66.0,125.0,66.0,4.1,0.52,5.05,0.57,2.24,0.31,0.92,0.9
155,Danny Barlow,9,0,0,Southpaw,79.0,170.0,74.0,5.72,0.5,3.48,0.52,0.0,0.0,1.0,0.0
156,Luke Barnatt,13,4,0,Orthodox,77.0,185.0,78.0,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4
157,James Barnes,14,5,0,Orthodox,71.0,135.0,68.0,0.57,0.34,3.02,0.39,1.08,0.16,0.4,0.0
158,Shonte Barnes,6,2,1,Southpaw,76.0,185.0,71.0,2.32,0.38,1.55,0.67,0.0,0.0,0.6,0.0
159,Josh Barnett,35,8,0,Orthodox,78.0,250.0,75.0,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4
160,Chris Barnett,23,9,0,Orthodox,75.0,265.0,69.0,4.21,0.47,6.53,0.39,0.0,0.0,0.33,0.0
161,Phil Baroni,15,18,0,Orthodox,72.0,170.0,69.0,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5
162,Peter Barrett,11,5,0,Southpaw,73.0,145.0,70.0,4.18,0.61,4.32,0.42,1.39,0.22,0.66,0.0
163,Marc-Andre Barriault,16,9,0,Orthodox,74.0,185.0,73.0,5.98,0.47,5.58,0.52,0.21,0.25,0.67,0.1
164,Francimar Barroso,19,7,0,Orthodox,75.0,205.0,73.0,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0
165,Pat Barry,8,7,0,Orthodox,74.0,235.0,71.0,2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2
166,Dean Barry,4,2,0,Orthodox,72.0,170.0,70.0,9.31,0.4,4.66,0.51,0.0,0.0,1.0,0.0
167,Enrique Barzola,17,5,2,Orthodox,70.0,145.0,67.0,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3
168,Javid Basharat,14,1,0,Orthodox,69.0,135.0,69.0,5.42,0.53,2.97,0.62,1.7,0.4,0.85,0.2
169,Farid Basharat,13,0,0,Orthodox,71.0,135.0,68.0,4.36,0.55,2.57,0.59,3.97,0.44,0.8,0.5
170,Austin Bashi,13,0,0,Orthodox,70.0,145.0,66.0,2.67,0.52,2.3,0.47,18.18,0.66,0.75,3.6
171,Bryan Battle,13,2,0,Orthodox,77.0,170.0,73.0,5.12,0.52,4.11,0.44,0.77,0.17,0.53,0.4
172,Alan Baudot,8,3,0,Orthodox,79.0,243.0,75.0,5.36,0.58,4.82,0.46,0.0,0.0,0.62,0.0
173,Mario Bautista,15,2,0,Switch,69.0,135.0,69.0,5.33,0.47,3.91,0.54,1.92,0.33,0.66,0.9
174,Chris Beal,10,5,0,Orthodox,69.0,125.0,67.0,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2
175,Donovan Beard,7,2,0,Orthodox,78.0,185.0,74.0,0.0,0.0,5.77,0.28,0.0,0.0,0.0,0.0
176,Ariel Beck,4,5,0,Southpaw,66.0,125.0,66.0,4.44,0.34,4.31,0.64,0.0,0.0,0.0,0.0
177,Johnny Bedford,21,13,1,Orthodox,71.0,135.0,70.0,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0
178,Rolando Bedoya,14,4,0,Orthodox,74.0,155.0,71.0,7.29,0.49,6.38,0.52,0.0,0.0,0.33,0.0
179,Chase Beebe,24,13,1,Orthodox,67.0,135.0,67.0,2.17,0.38,1.64,0.69,2.49,0.42,0.41,0.9
180,Allan Begosso,7,2,1,Orthodox,66.0,135.0,65.0,1.8,0.4,7.73,0.34,0.0,0.0,0.25,2.0
181,Mirsad Bektic,13,4,0,Orthodox,70.0,145.0,68.0,2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4
182,Diana Belbita,15,9,0,Orthodox,68.0,115.0,67.0,6.54,0.42,6.55,0.51,0.91,0.62,0.65,0.0
183,Alan Belcher,18,8,0,Orthodox,75.0,185.0,74.0,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9
184,Vitor Belfort,26,14,0,Southpaw,74.0,185.0,72.0,1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6
185,Yousri Belgaroui,8,3,0,Orthodox,79.0,185.0,77.0,4.43,0.6,2.65,0.57,0.0,0.0,0.81,0.0
186,Rodolfo Bellato,12,2,0,Orthodox,77.0,205.0,75.0,6.47,0.61,5.9,0.44,1.09,0.25,1.0,0.5
187,Danilo Belluardo,12,5,0,Southpaw,74.0,155.0,72.0,1.52,0.61,4.79,0.41,3.5,1.0,0.5,0.0
188,Joey Beltran,17,14,0,Orthodox,75.0,185.0,73.0,4.92,0.36,5.27,0.54,0.48,0.18,0.75,0.0
189,Marco Beltran,8,6,0,Orthodox,69.0,125.0,68.0,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2
190,Joseph Benavidez,28,8,0,Southpaw,65.0,125.0,64.0,3.52,0.34,2.67,0.61,1.41,0.3,0.62,0.6
191,Gabriel Benitez,23,13,0,Southpaw,71.0,155.0,68.0,5.26,0.41,4.49,0.63,0.22,0.5,0.55,0.9
192,DeAnna Bennett,8,3,1,Orthodox,68.0,125.0,64.0,3.13,0.58,3.27,0.58,0.0,0.0,0.0,1.0
193,Benjamin Bennett,7,1,0,Switch,73.0,170.0,72.0,4.53,0.54,4.53,0.65,6.0,0.6,0.0,0.0
194,Lance Benoist,7,2,0,Southpaw,72.0,170.0,71.0,3.68,0.51,2.7,0.56,1.5,0.33,0.61,0.0
195,Ryan Benoit,10,8,0,Orthodox,68.0,125.0,65.0,2.88,0.39,3.65,0.58,0.28,0.22,0.72,0.4
196,Kenneth Bergh,8,0,0,Orthodox,74.0,205.0,74.0,4.56,0.75,1.27,0.28,0.0,0.0,0.0,0.0
197,Dennis Bermudez,17,9,0,Orthodox,66.0,155.0,66.0,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1
198,Manny Bermudez,14,2,0,Orthodox,71.0,145.0,70.0,2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1
199,Talita Bernardo,6,4,0,Orthodox,68.0,135.0,64.0,3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5
200,Matt Bessette,22,9,0,Orthodox,70.0,145.0,70.0,4.36,0.41,4.45,0.58,0.64,0.28,0.61,0.3
201,Khadzhi Bestaev,10,4,0,,76.0,185.0,78.0,6.15,0.29,10.0,0.43,0.0,0.0,0.0,0.0
202,Arjan Bhullar,9,1,0,Orthodox,75.0,245.0,73.0,2.33,0.56,3.25,0.59,1.73,0.75,1.0,0.0
